fPeak,pLow,pMid,pHigh,pKurtosis,qMean,qVar,qSkewness,qKurtosis,qPeak2Peak,qCrest,qRMS,qMAD,qCSRange,LeakFault,BlockingFault,BearingFault,FaultClass,machine_id,total_lifecycle_days,current_day
95.74945055,7.462437755,96.33075349,92.82365707,360.9271523,38.01145722,11.890444,-0.709593296,2.988673449,19.85622511,1.167296759,38.16741311,2.863343535,45611.74548,1.00E-09,0.799346944,0,2,3,40,1
95.81001221,14.82430161,85.40025236,92.20231135,196.192053,37.92627852,12.1767444,-0.79464568,3.407325044,21.4636442,1.177377367,38.08633886,2.860118536,45511.12357,1.00E-09,0.774399027,0,2,3,40,10
95.81001221,14.52223039,113.7180365,105.8278697,230.1324503,37.92607189,12.94792755,-0.860219869,3.532691074,21.26232699,1.186444544,38.09624752,2.93453515,45510.57343,1.00E-09,0.768411018,0,2,3,40,11
95.74945055,15.30967045,108.7896776,99.8029031,216.0596026,37.83175598,12.74733147,-0.877722229,3.655245938,20.26197072,1.164092983,37.99971681,2.898183958,45396.15956,1.00E-09,0.761291533,0,2,3,40,12
95.81001221,16.71501023,110.6670696,104.9960722,355.9602649,37.84248033,13.08498234,-0.883611003,3.664494476,20.59672629,1.166874495,38.01483138,2.959902101,45412.37296,1.00E-09,0.757991023,0,2,3,40,13
47.90573871,15.37319336,116.6698273,103.6808809,396.5231788,37.8576939,13.15811549,-0.893745688,3.655410276,20.14661389,1.149180233,38.03093671,2.946547687,45428.54082,1.00E-09,0.752105063,0,2,3,40,14
95.87057387,18.97306388,113.5558124,115.1456981,389.9006623,37.77230091,14.06514061,-0.959087519,3.919280904,22.31578707,1.166800529,37.9578733,3.055782685,45327.10515,1.00E-09,0.746514304,0,2,3,40,15
47.90573871,21.898477,118.2338081,108.7693018,376.6556291,37.78675499,13.74881533,-0.970732659,4.004187774,21.27358022,1.171188925,37.96809476,3.0016215,45345.22484,1.00E-09,0.743431962,0,2,3,40,16
47.96630037,22.03908933,118.1493241,118.732046,71.19205298,37.79811353,14.31113523,-1.067045947,4.358560408,23.60094967,1.18100645,37.98679515,3.033997953,45357.66173,1.00E-09,0.738183478,0,2,3,40,17
47.96630037,25.42772506,136.3597533,139.7837127,276.4900662,37.7591464,14.7728309,-1.114792224,4.713909009,24.06447231,1.164805046,37.95409948,3.064762914,45310.24446,1.00E-09,0.733870871,0,2,3,40,18
47.90573871,30.2275104,135.8732038,139.2115369,460.2649007,37.7001754,14.62805214,-1.158863824,4.768753658,23.1244462,1.163854028,37.89352316,3.020144983,45240.31204,1.00E-09,0.725133286,0,2,3,40,19
95.74945055,6.837375017,94.98426696,82.92001969,134.9337748,38.0081209,11.82529995,-0.691919586,3.067983353,19.7499972,1.17072515,38.16323765,2.853664871,45610.86623,1.00E-09,0.79746871,0,2,3,40,2
47.96630037,31.61068564,135.816076,144.8240492,451.986755,37.69140757,15.31028522,-1.152415759,4.627985392,22.9923518,1.162080687,37.89379556,3.113168045,45230.27299,1.00E-09,0.719467302,0,2,3,40,20
47.90573871,31.22680579,141.4002312,140.9476601,470.1986755,37.66830061,15.39200929,-1.192916159,4.870229839,22.87840385,1.173501435,37.87189016,3.105387892,45202.28715,1.00E-09,0.712047436,0,2,3,40,21
47.96630037,37.48040737,141.5936129,137.8395782,280.6291391,37.63155107,16.29015054,-1.281998272,5.387849957,24.56998364,1.165839519,37.8471957,3.15973286,45157.59878,1.00E-09,0.707095301,0,2,3,40,22
